GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
alerts,pay.my.buddy.app,PayMyBuddyApplication,5,3,0,0,2,1,1,1,1,1
alerts,pay.my.buddy.app.moneytransfers,MoneyTransfersService,10,240,1,5,1,56,2,6,1,4
alerts,pay.my.buddy.app.moneytransfers,MoneyTransfersController,16,9,0,0,3,4,3,1,3,1
alerts,pay.my.buddy.app.moneytransfers,MoneyTransfers,44,71,0,0,7,32,6,20,6,20
alerts,pay.my.buddy.app.person,PersonsController,26,3,0,0,5,1,5,1,5,1
alerts,pay.my.buddy.app.person,RestTemplateConfig,0,7,0,0,0,2,0,2,0,2
alerts,pay.my.buddy.app.person,Person,33,44,0,0,8,19,5,13,5,13
alerts,pay.my.buddy.app.person,PersonService,35,224,4,24,9,53,5,18,1,8
alerts,pay.my.buddy.app.friends,FriendsController,18,3,0,0,4,2,4,1,4,1
alerts,pay.my.buddy.app.friends,FriendsService,12,218,3,13,1,49,5,10,2,5
alerts,pay.my.buddy.app.friends,Friends,23,63,0,0,2,28,2,18,2,18
alerts,pay.my.buddy.app.security,UserDetailServiceImpl,7,45,0,2,2,10,0,3,0,2
alerts,pay.my.buddy.app.security,SecurityController,4,3,0,0,2,1,2,1,2,1
alerts,pay.my.buddy.app.security,SecurityConfig,0,87,0,0,0,19,0,6,0,6
alerts,pay.my.buddy.app.security,MyAppConfig,0,14,0,0,0,3,0,3,0,3
alerts,pay.my.buddy.app.companywallet,CompanyWalletController,4,3,0,0,1,1,1,1,1,1
alerts,pay.my.buddy.app.companywallet,CompanyWallet,18,27,2,2,5,9,5,4,3,4
alerts,pay.my.buddy.app.companywallet,CompanyWalletService,5,20,0,0,0,6,1,2,1,2
